Měsíc;Den v týdnu;Denní doba;Typ;Vzdálenost;Čas;Průměrný ST;Maximální ST;Průměrné tempo;Celkový výstup;Kroky
únor;pondělí;Odpoledne;easy;15,31;01:29:39;156;180;05:51;191;13 650
únor;sobota;Odpoledne;easy;11,63;00:59:58;153;165;05:09;59;9 624
leden;pátek;Odpoledne;easy;16,01;01:29:58;155;178;05:37;119;14 104
leden;středa;Odpoledne;Intervaly;12,61;01:00:44;161;176;04:49;59;10 214
leden;pondělí;Odpoledne;Intervaly;10,20;00:48:01;165;177;04:42;40;8 058
leden;sobota;Odpoledne;ultra;42,51;05:16:52;129;166;07:27;485;42 222
leden;středa;Odpoledne;easy;6,06;00:30:02;158;175;04:57;26;4 998
leden;úterý;Odpoledne;easy;11,02;01:00:36;160;176;05:30;56;9 540
leden;sobota;Odpoledne;long;22,02;02:27:08;142;179;06:41;228;21 320
leden;pátek;Odpoledne;easy;15,11;01:28:49;140;154;05:53;97;13 578
leden;středa;Ráno a dopoledne;easy;5,18;00:32:43;135;150;06:19;25;5 020
leden;úterý;Odpoledne;easy;10,05;00:59:19;155;173;05:54;77;9 248
leden;neděle;Odpoledne;easy;10,83;01:10:00;138;154;06:28;70;10 770
leden;sobota;Odpoledne;easy;13,01;01:21:20;139;166;06:15;93;12 260
leden;čtvrtek;Odpoledne;easy;10,02;00:57:31;143;161;05:44;66;8 652
leden;úterý;Odpoledne;easy;10,20;01:01:51;148;170;06:04;54;9 354
leden;pondělí;Odpoledne;easy;6,22;00:38:21;141;157;06:10;38;5 760
